galaxy,cluster,sftype,agntype,right_ascension,declination,distance,redshift,modified_redshift,itot_151,itot_610,itot_1400,itot_4860,itot_18000,m_hi,cos_va,itot_24mic,itot_70mic,itot_100mic,itot_160mic,itot_250mic,itot_350mic,itot_450mic,itot_500mic,itot_850mic,itot_1200mic,K_mag,RQQ_IR_class,SD_flag,dlog_L
36476190,0,0,2,-2.5407,3.94067,2207.346,0.600316,0.599647247,-1.6672,-2.11,-2.3679,-2.7522,-3.1695,0,0.7322,-5.21013,-5.27243,-4.92885,-4.6559,-4.691,-4.87326,-5.08289,-5.1852,-5.81027,-6.28916,17.3077,0,0,0
36479700,0,0,2,-4.90742,-0.62948,2213.611,0.60235,0.601707456,-1.3949,-1.8472,-2.1151,-2.5161,-2.9404,0,0.1215,-4.56786,-4.63131,-4.2879,-4.01409,-4.04828,-4.23017,-4.43971,-4.54175,-5.16654,-5.64551,15.7035,0,0,0
36480148,0,0,2,-2.76227,1.23237,2209.08,0.600879,0.600966831,0.0125,-0.4416,-0.7114,-1.1156,-1.5415,0,0.8927,-4.51907,-4.58169,-4.23816,-3.96497,-3.99982,-4.18198,-4.39158,-4.49381,-5.11881,-5.59772,15.5804,0,0,0
36483375,0,0,2,4.75907,-4.95964,2225.128,0.606094,0.606290816,-1.6062,-2.0321,-2.2734,-2.6327,-3.0399,0,0.8995,-4.98187,-5.04742,-4.70432,-4.42893,-4.46149,-4.6427,-4.85208,-4.95362,-5.57793,-6.05703,16.7413,0,0,0
36483547,0,0,2,3.95379,-3.80738,2218.176,0.603833,0.603580576,-2.4584,-2.6373,-2.7283,-2.935,-3.2945,0,0.9899,-4.96906,-5.03334,-4.69004,-4.41561,-4.44915,-4.63077,-4.84025,-4.94208,-5.56668,-6.0457,16.7076,0,0,0
36483976,0,0,2,-0.14014,-2.11535,2211.66,0.601716,0.599559291,-1.2608,-1.7139,-1.9828,-2.3852,-2.8104,0,0.078,-4.85695,-4.92005,-4.57658,-4.30304,-4.33751,-4.51952,-4.72909,-4.83121,-5.45609,-5.93503,16.4258,0,0,0
36484468,0,0,2,-1.09144,0.5353,2213.005,0.602153,0.6013027,0.4036,-0.0506,-0.3206,-0.7251,-1.1512,0,0.5378,-4.73282,-4.79617,-4.45274,-4.17901,-4.21329,-4.39522,-4.60477,-4.70682,-5.33165,-5.81061,16.1158,0,0,0
36484872,0,0,2,-1.53624,2.67886,2210.808,0.60144,0.602904469,-1.3833,-1.7112,-1.876,-2.1444,-2.5204,0,0.9907,-4.70834,-4.77129,-4.4278,-4.15437,-4.18897,-4.37103,-4.58061,-4.68276,-5.30768,-5.78661,16.054,0,0,0
36488035,0,0,2,-4.02742,-4.98967,2234.529,0.609156,0.609797528,-0.4781,-0.9261,-1.1895,-1.5827,-2.0037,0,0.7363,-4.57858,-4.64588,-4.30304,-4.02637,-4.0576,-4.23827,-4.44752,-4.54866,-5.17258,-5.6518,15.7354,0,0,0
36488289,0,0,2,-4.20624,-3.38509,2230.877,0.607966,0.607327625,-1.9969,-2.4516,-2.722,-3.127,-3.5533,0,0.0999,-4.78164,-4.84827,-4.50533,-4.22916,-4.2609,-4.44178,-4.65108,-4.75238,-5.37645,-5.85562,16.2422,0,0,0
36488342,0,0,2,3.8138,-3.16582,2225.46,0.606202,0.606892706,-2.0496,-2.5006,-2.7673,-3.166,-3.5895,0,0.1781,-5.06837,-5.13398,-4.7909,-4.51546,-4.54797,-4.72916,-4.93854,-5.04006,-5.66436,-6.14347,16.9576,0,0,0
36488723,0,0,2,1.21156,-1.49747,2216.833,0.603396,0.602237328,-1.0083,-1.3293,-1.4897,-1.7539,-2.1289,0,0.8851,-4.84618,-4.91022,-4.56689,-4.29263,-4.32637,-4.50807,-4.71757,-4.81946,-5.44412,-5.92312,16.4,0,0,0
36488775,0,0,2,3.93229,-1.3433,2225.742,0.606294,0.606068093,-1.0824,-1.4884,-1.7116,-2.0461,-2.4439,0,0.9431,-3.9278,-3.99346,-3.65038,-3.37491,-3.40737,-3.58856,-3.79793,-3.89944,-4.52372,-5.00283,14.1062,0,0,0
36489043,0,0,2,-2.29739,-0.56623,2220.472,0.604579,0.603009273,-1.7358,-2.1868,-2.4532,-2.8516,-3.2749,0,0.7671,-4.95229,-5.01701,-4.67378,-4.39903,-4.43224,-4.61373,-4.82317,-4.92491,-5.54941,-6.02846,16.6662,0,0,0
36489118,0,0,2,-2.07319,-0.34996,2222.249,0.605157,0.604286035,-1.8891,-2.336,-2.5982,-2.9895,-3.4098,0,0.802,-5.31188,-5.37689,-5.03372,-4.75872,-4.79168,-4.97307,-5.18249,-5.28415,-5.90858,-6.38765,17.5656,0,0,0
36489561,0,0,2,0.51545,1.68558,2216.821,0.603392,0.602930429,-0.9319,-1.3706,-1.6244,-2.0024,-2.4169,0,0.5712,-4.66444,-4.72848,-4.38515,-4.11089,-4.14463,-4.32633,-4.53583,-4.63772,-5.26238,-5.74139,15.9457,0,0,0
36489735,0,0,2,2.17471,2.43358,2218.509,0.603941,0.604161142,-1.9635,-2.4171,-2.6865,-3.0896,-3.5153,0,0.499,-4.76015,-4.8245,-4.48121,-4.20673,-4.24022,-4.42182,-4.63129,-4.73311,-5.3577,-5.83673,16.1854,0,0,0
36490078,0,0,2,-0.0682,4.26078,2221.647,0.604961,0.605925004,-2.1793,-2.6336,-2.9037,-3.3083,-3.7344,0,0.6338,-4.25181,-4.31674,-3.97354,-3.69862,-3.73167,-3.91309,-4.12251,-4.2242,-4.84866,-5.32772,14.9153,0,0,0
36492670,0,0,2,-0.99832,-4.50183,2234.274,0.609073,0.608109067,-2.017,-2.4714,-2.7415,-3.146,-3.5721,0,0.6113,-4.97267,-5.03991,-4.69707,-4.42043,-4.4517,-4.63239,-4.84164,-4.94279,-5.56672,-6.04593,16.7205,0,0,0
36493401,0,0,2,2.01303,-0.72704,2227.031,0.606713,0.60604516,-2.2159,-2.6672,-2.9342,-3.3335,-3.7572,0,0.2523,-5.06859,-5.13452,-4.79147,-4.51582,-4.54811,-4.72921,-4.93856,-5.04002,-5.66425,-6.14338,16.9586,0,0,0
36493931,0,0,2,4.46058,1.96071,2232.072,0.608355,0.608923584,-1.6549,-2.1077,-2.376,-2.7777,-3.2024,0,0.7307,-4.83061,-4.89746,-4.55456,-4.27822,-4.30979,-4.49061,-4.69989,-4.80114,-5.42516,-5.90434,16.3649,0,0,0
36494144,0,0,4,-1.21641,2.77966,2227.589,0.606895,0.607536439,-2.0931,-2.0561,-2.3247,-2.7266,-3.1516,0,0.1254,-4.59979,-4.66582,-4.32279,-4.04706,-4.07927,-4.26034,-4.46969,-4.57112,-5.19533,-5.67446,15.7867,0,0,0
